Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),O2 B1S1 sensor voltage(V),O2 B1S2 sensor voltage(V),beahavior
17.647059,2299,36,0.69,0.745,safe
18.823529,2373,37,0.83,0.75,safe
20.784314000000002,2475,39,0.895,0.745,safe
3.9215686,1699,38,0.91,0.755,safe
13.725489999999999,1849,38,0.055,0.35,safe
14.901960999999998,1884,39,0.805,0.75,safe
14.901960999999998,1941,40,0.47,0.745,safe
9.8039216,1966,41,0.85,0.74,safe
6.6666667,1936,40,0.695,0.74,safe
5.8823529,1894,39,0.82,0.74,safe
4.7058824,1791,37,0.125,0.735,safe
6.6666667,1596,32,0.165,0.74,safe
4.7058824,1221,25,0.29,0.745,safe
5.8823529,1565,19,0.105,0.74,safe
6.6666667,1679,18,0.715,0.745,safe
8.627450999999999,1671,17,0.63,0.745,safe
8.627450999999999,1712,18,0.135,0.74,safe
14.901960999999998,1839,19,0.815,0.75,safe
18.823529,2109,22,0.78,0.745,safe
15.686275,2126,24,0.065,0.74,safe
6.6666667,1427,23,0.855,0.74,safe
12.941175999999999,1534,24,0.055,0.12,safe
14.901960999999998,1633,26,0.795,0.635,safe
14.901960999999998,1748,27,0.095,0.7,safe
11.764706,1782,28,0.755,0.735,safe
7.8431372999999995,1719,28,0.385,0.74,safe
5.8823529,1669,26,0.14,0.74,safe
5.8823529,1511,23,0.54,0.745,safe
4.7058824,1302,20,0.735,0.745,safe
4.7058824,1192,18,0.865,0.74,safe
3.9215686,896,17,0.825,0.745,safe
10.980392,1543,17,0.06,0.11,safe
12.941175999999999,1737,18,0.085,0.125,safe
17.647059,2056,21,0.86,0.655,safe
18.823529,2282,24,0.095,0.715,safe
9.8039216,1949,25,0.535,0.735,safe
15.686275,1576,25,0.06,0.145,safe
17.647059,1681,27,0.805,0.625,safe
18.823529,1814,29,0.805,0.735,safe
20.0,1974,30,0.13,0.75,safe
20.0,2124,33,0.43,0.75,safe
18.823529,2213,35,0.805,0.74,safe
12.941175999999999,2238,35,0.09,0.7,safe
12.941175999999999,2238,35,0.78,0.73,safe
10.980392,2186,34,0.84,0.735,safe
5.8823529,2114,33,0.885,0.735,safe
5.8823529,2021,32,0.835,0.735,safe
5.8823529,1910,29,0.09,0.74,safe
6.6666667,1849,28,0.07,0.735,safe
5.8823529,1798,29,0.83,0.73,safe
5.8823529,1792,27,0.135,0.73,safe
5.8823529,1743,26,0.85,0.73,safe
4.7058824,1663,26,0.24,0.73,safe
7.8431372999999995,1660,26,0.1,0.635,safe
9.8039216,1703,27,0.115,0.135,safe
11.764706,1723,27,0.08,0.095,safe
15.686275,1821,28,0.825,0.53,safe
17.647059,1946,30,0.19,0.69,safe
17.647059,2046,32,0.77,0.735,safe
18.823529,2144,35,0.84,0.74,safe
16.862745,2249,36,0.705,0.74,safe
