Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),Intake air temp(C),Abs throttle position(%),beahavior
8.627450999999999,2023,42,37.0,9.019607800000001,safe
8.627450999999999,2032,42,37.0,9.019607800000001,safe
8.627450999999999,2026,42,37.0,8.627450999999999,safe
7.8431372999999995,2004,41,37.0,9.019607800000001,safe
8.627450999999999,1997,41,37.0,10.196078,safe
9.8039216,1988,41,37.0,10.588235000000001,safe
10.980392,1978,40,37.0,10.588235000000001,safe
9.8039216,1957,40,37.0,10.588235000000001,safe
9.8039216,1934,40,37.0,10.588235000000001,safe
9.8039216,1919,39,37.0,10.588235000000001,safe
9.8039216,1912,39,37.0,11.372549000000001,safe
10.980392,1905,39,37.0,11.372549000000001,safe
10.980392,1911,39,37.0,11.372549000000001,safe
10.980392,1878,39,37.0,5.8823529,safe
4.7058824,1851,38,37.0,5.8823529,safe
4.7058824,1780,37,37.0,5.4901960999999995,safe
4.7058824,1710,35,37.0,7.450980400000001,safe
7.8431372999999995,1615,33,37.0,11.372549000000001,safe
10.980392,1614,33,38.0,13.333332999999998,safe
12.941175999999999,1652,34,38.0,3.1372549,safe
3.9215686,1663,34,37.0,3.1372549,safe
2.745098,1605,33,37.0,3.1372549,safe
2.745098,1537,32,37.0,4.7058824,safe
3.9215686,1467,30,37.0,3.9215686,safe
3.9215686,1391,28,37.0,4.313725499999999,safe
3.9215686,1276,26,37.0,3.9215686,safe
2.745098,1109,23,37.0,5.8823529,safe
3.9215686,932,19,38.0,5.8823529,safe
4.7058824,936,14,38.0,6.2745098,safe
4.7058824,974,10,38.0,6.2745098,safe
4.7058824,987,8,38.0,6.2745098,safe
4.7058824,998,4,38.0,6.2745098,safe
4.7058824,996,1,38.0,6.6666667,safe
12.941175999999999,1292,6,38.0,16.078431,safe
14.901960999999998,1794,10,38.0,5.8823529,safe
5.8823529,1737,10,38.0,20.0,safe
12.941175999999999,1143,12,38.0,9.8039216,safe
8.627450999999999,1241,13,38.0,16.470588,safe
13.725489999999999,1351,15,38.0,18.039216,safe
15.686275,1573,17,38.0,17.647059,safe
17.647059,1833,19,38.0,17.647059,safe
20.0,2052,22,38.0,17.647059,safe
20.784314000000002,2218,24,38.0,6.2745098,safe
5.8823529,1535,23,38.0,22.352941,safe
