data0x03,data0x04,data0x05,data0x06,data0x07,data0x0b,data0x0c,data0x0d,data0x0e,data0x0f,data0x11,data0x14,extra0x14,data0x015,beahavior
2,4.7058824,80,37.5,96.09375,25,1811,28,-19.5,36.0,3.9215686,0.86,14.84375,0.86,safe
2,4.7058824,80,14.84375,96.09375,26,1802,28,-20.0,36.0,3.9215686,0.84,19.53125,0.855,safe
2,3.9215686,80,34.375,96.875,25,1779,28,-19.5,36.0,5.4901960999999995,0.77,21.875,0.85,safe
2,4.7058824,80,7.03125,96.875,24,1769,28,-20.0,36.0,5.0980392,0.345,38.28125,0.845,safe
2,4.7058824,80,21.09375,98.4375,21,1721,27,-20.5,36.0,3.5294117999999997,0.19,33.59375,0.845,safe
2,2.745098,80,28.125,99.21875,30,1386,21,60.5,36.0,3.9215686,0.09,32.03125,0.84,safe
2,2.745098,80,30.46875,99.21875,35,900,13,-57.5,36.0,3.1372549,0.845,19.53125,0.845,safe
2,2.745098,80,13.28125,99.21875,39,843,4,-46.0,36.0,5.0980392,0.72,3.90625,0.85,safe
2,4.7058824,80,3.125,92.1875,51,813,4,-44.5,36.0,3.9215686,0.38,5.46875,0.845,safe
2,4.7058824,81,3.125,99.21875,46,1324,7,-31.0,36.0,6.6666667,0.85,10.15625,0.84,safe
2,7.8431372999999995,81,-4.6875,99.21875,46,1941,11,-40.5,36.0,2.3529412,0.055,0.0,0.84,safe
4,4.7058824,81,-3.90625,99.21875,47,1120,11,-58.0,36.0,5.8823529,0.125,0.0,0.835,safe
2,3.9215686,81,-7.8125,99.21875,40,887,9,-57.0,36.0,3.1372549,0.075,-1.5625,0.83,safe
2,2.745098,81,5.46875,99.21875,38,854,6,-59.0,36.0,2.745098,0.71,0.0,0.825,safe
2,2.745098,81,8.59375,99.21875,36,816,1,-57.0,36.0,2.3529412,0.615,9.375,0.825,safe
2,7.8431372999999995,54,7.8125,55.46875,49,1172,6,-43.5,33.0,12.54902,0.945,12.5,0.075,unsafe
2,12.941175999999999,54,22.65625,25.78125,51,2037,11,-39.5,33.0,13.333332999999998,0.87,0.0,0.085,unsafe
2,13.725489999999999,54,-12.5,54.6875,46,1305,14,-62.0,33.0,4.313725499999999,0.04,17.96875,0.005,unsafe
2,3.9215686,55,26.5625,99.21875,36,959,10,-51.0,33.0,3.1372549,0.88,14.84375,0.015,unsafe
2,2.745098,55,7.8125,99.21875,39,867,2,-53.0,33.0,12.54902,0.955,-3.90625,0.105,unsafe
4,7.8431372999999995,55,0.0,20.3125,61,1155,6,-46.0,33.0,9.411764699999999,0.055,8.59375,0.045,unsafe
2,13.725489999999999,56,16.40625,12.5,70,2513,14,-32.0,33.0,2.745098,0.025,0.0,0.0,unsafe
4,7.8431372999999995,56,-8.59375,99.21875,46,1583,16,-30.0,33.0,7.8431372999999995,0.245,-14.0625,0.085,unsafe
2,4.7058824,56,0.0,99.21875,34,1597,17,-40.5,33.0,12.54902,0.935,-10.15625,0.085,unsafe
2,22.745098000000002,57,-14.84375,21.09375,75,2302,25,-53.0,34.0,8.235294099999999,0.04,0.0,0.005,unsafe
4,21.960784,57,-12.5,5.46875,88,1834,29,-38.0,34.0,14.117647,0.05,7.03125,0.03,unsafe
2,16.862745,58,12.5,14.0625,59,2149,33,-29.0,33.0,12.54902,0.69,6.25,0.035,unsafe
2,10.980392,58,14.0625,92.1875,23,2156,33,-18.5,33.0,3.5294117999999997,0.015,0.0,0.0,unsafe
